Family,Father,Mother,Gender,Height,Kids,Father(cm),mother(cm),Height(cm)
1,78.5,67,M,73.2,4,199.39,170.18,185.928
1,78.5,67,F,69.2,4,199.39,170.18,175.768
1,78.5,67,F,69,4,199.39,170.18,175.26
1,78.5,67,F,69,4,199.39,170.18,175.26
2,75.5,66.5,M,73.5,4,191.77,168.91,186.69
2,75.5,66.5,M,72.5,4,191.77,168.91,184.15
2,75.5,66.5,F,65.5,4,191.77,168.91,166.37
2,75.5,66.5,F,65.5,4,191.77,168.91,166.37
3,75,64,M,71,2,190.5,162.56,180.34
3,75,64,F,68,2,190.5,162.56,172.72
4,75,64,M,70.5,5,190.5,162.56,179.07
4,75,64,M,68.5,5,190.5,162.56,173.99
4,75,64,F,67,5,190.5,162.56,170.18
4,75,64,F,64.5,5,190.5,162.56,163.83
4,75,64,F,63,5,190.5,162.56,160.02
5,75,58.5,M,72,6,190.5,148.59,182.88
5,75,58.5,M,69,6,190.5,148.59,175.26
5,75,58.5,M,68,6,190.5,148.59,172.72
5,75,58.5,F,66.5,6,190.5,148.59,168.91
5,75,58.5,F,62.5,6,190.5,148.59,158.75
5,75,58.5,F,62.5,6,190.5,148.59,158.75
6,74,68,F,69.5,1,187.96,172.72,176.53
7,74,68,M,76.5,6,187.96,172.72,194.31
7,74,68,M,74,6,187.96,172.72,187.96
7,74,68,M,73,6,187.96,172.72,185.42
7,74,68,M,73,6,187.96,172.72,185.42
7,74,68,F,70.5,6,187.96,172.72,179.07
7,74,68,F,64,6,187.96,172.72,162.56
8,74,66.5,F,70.5,3,187.96,168.91,179.07
8,74,66.5,F,68,3,187.96,168.91,172.72
8,74,66.5,F,66,3,187.96,168.91,167.64
9,74.5,66,F,66,1,189.23,167.64,167.64
10,74,65.5,F,65.5,1,187.96,166.37,166.37
11,74,62,M,74,8,187.96,157.48,187.96
11,74,62,M,70,8,187.96,157.48,177.8
11,74,62,F,68,8,187.96,157.48,172.72
11,74,62,F,67,8,187.96,157.48,170.18
11,74,62,F,67,8,187.96,157.48,170.18
11,74,62,F,66,8,187.96,157.48,167.64
11,74,62,F,63.5,8,187.96,157.48,161.29
11,74,62,F,63,8,187.96,157.48,160.02
12,74,61,F,65,1,187.96,154.94,165.1
14,73,67,M,68,2,185.42,170.18,172.72
14,73,67,M,67,2,185.42,170.18,170.18
15,73,66.5,M,71,3,185.42,168.91,180.34
15,73,66.5,M,70.5,3,185.42,168.91,179.07
15,73,66.5,F,66.7,3,185.42,168.91,169.418
16,73,65,M,72,9,185.42,165.1,182.88
16,73,65,M,70.5,9,185.42,165.1,179.07
16,73,65,M,70.2,9,185.42,165.1,178.308
16,73,65,M,70.2,9,185.42,165.1,178.308
16,73,65,M,69.2,9,185.42,165.1,175.768
16,73,65,F,68.7,9,185.42,165.1,174.498
16,73,65,F,66.5,9,185.42,165.1,168.91
16,73,65,F,64.5,9,185.42,165.1,163.83
16,73,65,F,63.5,9,185.42,165.1,161.29
17,73,64.5,M,74,6,185.42,163.83,187.96
17,73,64.5,M,73,6,185.42,163.83,185.42
17,73,64.5,M,71.5,6,185.42,163.83,181.61
17,73,64.5,M,62.5,6,185.42,163.83,158.75
17,73,64.5,F,66.5,6,185.42,163.83,168.91
17,73,64.5,F,62.3,6,185.42,163.83,158.242
18,73,64,F,66,3,185.42,162.56,167.64
18,73,64,F,64.5,3,185.42,162.56,163.83
18,73,64,F,64,3,185.42,162.56,162.56
19,73.2,63,F,62.7,1,185.928,160.02,159.258
20,72.7,69,M,73.2,8,184.658,175.26,185.928
20,72.7,69,M,73,8,184.658,175.26,185.42
20,72.7,69,M,72.7,8,184.658,175.26,184.658
20,72.7,69,F,70,8,184.658,175.26,177.8
20,72.7,69,F,69,8,184.658,175.26,175.26
20,72.7,69,F,68.5,8,184.658,175.26,173.99
20,72.7,69,F,68,8,184.658,175.26,172.72
20,72.7,69,F,66,8,184.658,175.26,167.64
21,72,68,M,73,3,182.88,172.72,185.42
21,72,68,F,68.5,3,182.88,172.72,173.99
21,72,68,F,68,3,182.88,172.72,172.72
22,72,67,M,73,3,182.88,170.18,185.42
22,72,67,M,71,3,182.88,170.18,180.34
22,72,67,F,67,3,182.88,170.18,170.18
23,72,65,M,74.2,7,182.88,165.1,188.468
23,72,65,M,70.5,7,182.88,165.1,179.07
23,72,65,M,69.5,7,182.88,165.1,176.53
23,72,65,F,66,7,182.88,165.1,167.64
23,72,65,F,65.5,7,182.88,165.1,166.37
23,72,65,F,65,7,182.88,165.1,165.1
23,72,65,F,65,7,182.88,165.1,165.1
24,72,65.5,F,65.5,1,182.88,166.37,166.37
25,72,64,F,66,2,182.88,162.56,167.64
25,72,64,F,63,2,182.88,162.56,160.02
26,72,63,M,70.5,5,182.88,160.02,179.07
26,72,63,M,70.5,5,182.88,160.02,179.07
26,72,63,M,69,5,182.88,160.02,175.26
26,72,63,F,65,5,182.88,160.02,165.1
26,72,63,F,63,5,182.88,160.02,160.02
27,72,63,M,69,3,182.88,160.02,175.26
27,72,63,M,67,3,182.88,160.02,170.18
27,72,63,F,63,3,182.88,160.02,160.02
28,72,63,M,73,6,182.88,160.02,185.42
28,72,63,M,67,6,182.88,160.02,170.18
28,72,63,F,70.5,6,182.88,160.02,179.07
28,72,63,F,70,6,182.88,160.02,177.8
28,72,63,F,66.5,6,182.88,160.02,168.91
28,72,63,F,63,6,182.88,160.02,160.02
29,72.5,63.5,F,67.5,3,184.15,161.29,171.45
29,72.5,63.5,F,67.2,3,184.15,161.29,170.688
29,72.5,63.5,F,66.7,3,184.15,161.29,169.418
30,72,62,F,64,1,182.88,157.48,162.56
31,72.5,62,M,71,6,184.15,157.48,180.34
31,72.5,62,M,70,6,184.15,157.48,177.8
31,72.5,62,M,70,6,184.15,157.48,177.8
31,72.5,62,F,66,6,184.15,157.48,167.64
31,72.5,62,F,65,6,184.15,157.48,165.1
31,72.5,62,F,65,6,184.15,157.48,165.1
32,72,62,M,74,5,182.88,157.48,187.96
32,72,62,M,72,5,182.88,157.48,182.88
32,72,62,M,69,5,182.88,157.48,175.26
32,72,62,F,67.5,5,182.88,157.48,171.45
32,72,62,F,63.5,5,182.88,157.48,161.29
33,72,62,M,72,5,182.88,157.48,182.88
33,72,62,M,71.5,5,182.88,157.48,181.61
33,72,62,M,71.5,5,182.88,157.48,181.61
33,72,62,M,70,5,182.88,157.48,177.8
33,72,62,F,68,5,182.88,157.48,172.72
34,72,61,F,65.7,1,182.88,154.94,166.878
35,71,69,M,78,5,180.34,175.26,198.12
35,71,69,M,74,5,180.34,175.26,187.96
35,71,69,M,73,5,180.34,175.26,185.42
35,71,69,M,72,5,180.34,175.26,182.88
35,71,69,F,67,5,180.34,175.26,170.18
36,71,67,M,73.2,4,180.34,170.18,185.928
36,71,67,M,73,4,180.34,170.18,185.42
36,71,67,M,69,4,180.34,170.18,175.26
36,71,67,F,67,4,180.34,170.18,170.18
37,71,66,M,70,4,180.34,167.64,177.8
37,71,66,F,67,4,180.34,167.64,170.18
37,71,66,F,67,4,180.34,167.64,170.18
37,71,66,F,66.5,4,180.34,167.64,168.91
38,71,66,M,70,6,180.34,167.64,177.8
38,71,66,M,69,6,180.34,167.64,175.26
38,71,66,M,68.5,6,180.34,167.64,173.99
38,71,66,F,66,6,180.34,167.64,167.64
38,71,66,F,64.5,6,180.34,167.64,163.83
38,71,66,F,63,6,180.34,167.64,160.02
39,71,66,M,71,2,180.34,167.64,180.34
39,71,66,F,67,2,180.34,167.64,170.18
40,71,66,M,76,5,180.34,167.64,193.04
40,71,66,M,72,5,180.34,167.64,182.88
40,71,66,M,71,5,180.34,167.64,180.34
40,71,66,M,66,5,180.34,167.64,167.64
40,71,66,F,66,5,180.34,167.64,167.64
41,71.7,65.5,M,70.5,1,182.118,166.37,179.07
42,71,65.5,M,72,6,180.34,166.37,182.88
42,71,65.5,M,72,6,180.34,166.37,182.88
42,71,65.5,M,71,6,180.34,166.37,180.34
42,71,65.5,M,69,6,180.34,166.37,175.26
42,71,65.5,F,66,6,180.34,166.37,167.64
42,71,65.5,F,65,6,180.34,166.37,165.1
43,71.5,65.5,M,73,2,181.61,166.37,185.42
43,71.5,65.5,F,65.2,2,181.61,166.37,165.608
44,71.5,65,M,68.5,2,181.61,165.1,173.99
44,71.5,65,M,67.7,2,181.61,165.1,171.958
45,71,65,M,68,3,180.34,165.1,172.72
45,71,65,M,68,3,180.34,165.1,172.72
45,71,65,F,62,3,180.34,165.1,157.48
46,71,64,F,68,8,180.34,162.56,172.72
46,71,64,F,68,8,180.34,162.56,172.72
46,71,64,F,67.5,8,180.34,162.56,171.45
46,71,64,F,66.5,8,180.34,162.56,168.91
46,71,64,F,66.5,8,180.34,162.56,168.91
46,71,64,F,66,8,180.34,162.56,167.64
46,71,64,F,65.5,8,180.34,162.56,166.37
46,71,64,F,65,8,180.34,162.56,165.1
47,71.7,64.5,M,72,4,182.118,163.83,182.88
47,71.7,64.5,M,71,4,182.118,163.83,180.34
47,71.7,64.5,M,70.5,4,182.118,163.83,179.07
47,71.7,64.5,F,67,4,182.118,163.83,170.18
48,71,64,M,68,3,180.34,162.56,172.72
48,71,64,M,68,3,180.34,162.56,172.72
48,71,64,M,68,3,180.34,162.56,172.72
49,71.5,64.5,M,72,7,181.61,163.83,182.88
49,71.5,64.5,M,71,7,181.61,163.83,180.34
49,71.5,64.5,M,70,7,181.61,163.83,177.8
49,71.5,64.5,F,66,7,181.61,163.83,167.64
49,71.5,64.5,F,64.5,7,181.61,163.83,163.83
49,71.5,64.5,F,64.5,7,181.61,163.83,163.83
49,71.5,64.5,F,62,7,181.61,163.83,157.48
51,71.2,63,F,67.5,2,180.848,160.02,171.45
51,71.2,63,F,64.5,2,180.848,160.02,163.83
52,71,63.5,M,71,5,180.34,161.29,180.34
52,71,63.5,M,67,5,180.34,161.29,170.18
52,71,63.5,F,66,5,180.34,161.29,167.64
52,71,63.5,F,65,5,180.34,161.29,165.1
52,71,63.5,F,63.5,5,180.34,161.29,161.29
53,71,63,M,71,9,180.34,160.02,180.34
53,71,63,M,70,9,180.34,160.02,177.8
53,71,63,M,70,9,180.34,160.02,177.8
53,71,63,M,64,9,180.34,160.02,162.56
53,71,63,F,65,9,180.34,160.02,165.1
53,71,63,F,65,9,180.34,160.02,165.1
53,71,63,F,64,9,180.34,160.02,162.56
53,71,63,F,63,9,180.34,160.02,160.02
53,71,63,F,63,9,180.34,160.02,160.02
54,71,63,M,71,4,180.34,160.02,180.34
54,71,63,M,71,4,180.34,160.02,180.34
54,71,63,M,70,4,180.34,160.02,177.8
54,71,63,F,63.5,4,180.34,160.02,161.29
55,71,62,M,71,5,180.34,157.48,180.34
55,71,62,M,70,5,180.34,157.48,177.8
55,71,62,F,64.5,5,180.34,157.48,163.83
55,71,62,F,62.5,5,180.34,157.48,158.75
55,71,62,F,61.5,5,180.34,157.48,156.21
56,71,62,M,72,5,180.34,157.48,182.88
56,71,62,M,70.5,5,180.34,157.48,179.07
56,71,62,M,70.5,5,180.34,157.48,179.07
56,71,62,F,64.5,5,180.34,157.48,163.83
56,71,62,F,60,5,180.34,157.48,152.4
57,71,62.5,M,70,5,180.34,158.75,177.8
57,71,62.5,F,64,5,180.34,158.75,162.56
57,71,62.5,F,64,5,180.34,158.75,162.56
57,71,62.5,F,64,5,180.34,158.75,162.56
57,71,62.5,F,62.5,5,180.34,158.75,158.75
58,71,62,M,70.5,7,180.34,157.48,179.07
58,71,62,M,70,7,180.34,157.48,177.8
58,71,62,M,69,7,180.34,157.48,175.26
58,71,62,M,69,7,180.34,157.48,175.26
58,71,62,M,66,7,180.34,157.48,167.64
58,71,62,F,64.5,7,180.34,157.48,163.83
58,71,62,F,64,7,180.34,157.48,162.56
59,71,61,F,62,1,180.34,154.94,157.48
60,71,58,M,71.5,2,180.34,147.32,181.61
60,71,58,M,69,2,180.34,147.32,175.26
61,70,69,M,71,4,177.8,175.26,180.34
61,70,69,M,70,4,177.8,175.26,177.8
61,70,69,M,69,4,177.8,175.26,175.26
61,70,69,F,69,4,177.8,175.26,175.26
62,70,69,M,70,6,177.8,175.26,177.8
62,70,69,M,68.7,6,177.8,175.26,174.498
62,70,69,F,68,6,177.8,175.26,172.72
62,70,69,F,66,6,177.8,175.26,167.64
62,70,69,F,64,6,177.8,175.26,162.56
62,70,69,F,62,6,177.8,175.26,157.48
63,70,68,M,75,1,177.8,172.72,190.5
64,70,67,M,70,5,177.8,170.18,177.8
64,70,67,M,69,5,177.8,170.18,175.26
64,70,67,F,66,5,177.8,170.18,167.64
64,70,67,F,64,5,177.8,170.18,162.56
64,70,67,F,60,5,177.8,170.18,152.4
65,70,67,F,67.5,1,177.8,170.18,171.45
66,70,66.5,M,73,11,177.8,168.91,185.42
66,70,66.5,M,72,11,177.8,168.91,182.88
66,70,66.5,M,72,11,177.8,168.91,182.88
66,70,66.5,M,66.5,11,177.8,168.91,168.91
66,70,66.5,F,69.2,11,177.8,168.91,175.768
66,70,66.5,F,67.2,11,177.8,168.91,170.688
66,70,66.5,F,66.5,11,177.8,168.91,168.91
66,70,66.5,F,66,11,177.8,168.91,167.64
66,70,66.5,F,66,11,177.8,168.91,167.64
66,70,66.5,F,64.2,11,177.8,168.91,163.068
66,70,66.5,F,63.7,11,177.8,168.91,161.798
67,70.5,65,M,72,4,179.07,165.1,182.88
67,70.5,65,M,70.2,4,179.07,165.1,178.308
67,70.5,65,M,69,4,179.07,165.1,175.26
67,70.5,65,M,68.5,4,179.07,165.1,173.99
68,70.5,65,F,68,5,179.07,165.1,172.72
68,70.5,65,F,65,5,179.07,165.1,165.1
68,70.5,65,F,61.5,5,179.07,165.1,156.21
68,70.5,65,F,61,5,179.07,165.1,154.94
68,70.5,65,F,61,5,179.07,165.1,154.94
69,70,65,M,73,8,177.8,165.1,185.42
69,70,65,M,72,8,177.8,165.1,182.88
69,70,65,M,70.5,8,177.8,165.1,179.07
69,70,65,M,65,8,177.8,165.1,165.1
69,70,65,M,65,8,177.8,165.1,165.1
69,70,65,F,64.5,8,177.8,165.1,163.83
69,70,65,F,63,8,177.8,165.1,160.02
69,70,65,F,62,8,177.8,165.1,157.48
70,70,65,M,67,5,177.8,165.1,170.18
70,70,65,M,65,5,177.8,165.1,165.1
70,70,65,F,64.5,5,177.8,165.1,163.83
70,70,65,F,62.5,5,177.8,165.1,158.75
70,70,65,F,62.5,5,177.8,165.1,158.75
71,70,65,M,70,6,177.8,165.1,177.8
71,70,65,M,70,6,177.8,165.1,177.8
71,70,65,F,67,6,177.8,165.1,170.18
71,70,65,F,65,6,177.8,165.1,165.1
71,70,65,F,65,6,177.8,165.1,165.1
71,70,65,F,63,6,177.8,165.1,160.02
72,70,65,M,79,7,177.8,165.1,200.66
72,70,65,M,75,7,177.8,165.1,190.5
72,70,65,M,71,7,177.8,165.1,180.34
72,70,65,F,69,7,177.8,165.1,175.26
72,70,65,F,67,7,177.8,165.1,170.18
72,70,65,F,65.7,7,177.8,165.1,166.878
72,70,65,F,62,7,177.8,165.1,157.48
73,70,65,M,73,3,177.8,165.1,185.42
73,70,65,M,72.5,3,177.8,165.1,184.15
73,70,65,F,65,3,177.8,165.1,165.1
74,70,65,M,69,2,177.8,165.1,175.26
74,70,65,M,69,2,177.8,165.1,175.26
75,70,64.7,M,72,7,177.8,164.338,182.88
75,70,64.7,M,70,7,177.8,164.338,177.8
75,70,64.7,M,68.7,7,177.8,164.338,174.498
75,70,64.7,F,66.5,7,177.8,164.338,168.91
75,70,64.7,F,65.5,7,177.8,164.338,166.37
75,70,64.7,F,64.7,7,177.8,164.338,164.338
75,70,64.7,F,64.5,7,177.8,164.338,163.83
76,70,64,M,70.7,7,177.8,162.56,179.578
76,70,64,M,70,7,177.8,162.56,177.8
