Gender,Father(cm),mother(cm),Height(cm)
M,171,162,177
F,171,162,165
M,173,158,177
M,173,158,175
M,168,160,170
F,168,160,163
M,171,161,177
M,177,165,178
M,177,165,182
M,174,154,163
F,174,154,158
M,177,155,173
M,177,155,171
M,174,160,173
M,174,160,172
M,174,164,172
F,172,163,173
F,172,163,168.5
M,172,163,178
M,168,166,167
M,168,166,169
M,175,165,174.9
F,168,158,153.6
F,168,158,152
M,168,155,171.7
F,168,155,161
M,170,160,167
M,170,160,183
M,172,165,179
F,172,165,160
M,172,165,172
M,175.3,163.2,183.1
M,170,160,178
F,170,160,160
F,170,160,160
M,174.1,162,188.2
M,174.1,162,182
F,174.1,162,165
M,186.7,153.5,174.2
F,171,163,153.6
M,171,163,179
M,171,163,179
M,179,160,180
F,179,160,160
F,178,165,161
M,178,165,185
M,178,163,174
M,165.42,168.65,176.73
F,165.42,168.65,168.64
F,178.7,165.4,167.5
M,173.2,166.8,178.2
M,173.2,166.8,173.7
M,175,160,171.3
M,164,159,165
F,164,159,160
M,167,162,180.1
F,167,162,164
M,170,169,173.1
F,170,169,165
F,171,162,164
F,171,162,162
F,177.8,159.8,165.2
M,177.8,159.8,173
F,175,164.5,164.8
F,175,164.5,159
M,177.5,153,179.3
M,177.5,153,174.1
M,173,160,173
M,170,163,190
M,170,163,177
M,172.5,159,170
F,172.5,159,162
F,176,162,165
M,176,162,172
M,170,160,173
M,170,160,173
F,158,153,155
M,168,156,168
F,168,156,162
M,168,156,178
M,173,163,178
F,173,163,160
M,178,154,160.2
M,178,154,178
M,176,158,178.8
F,176,158,159
F,174,160,160.3
F,168,163,173
M,168,163,181
F,170,157,160.4
F,170,157,158
M,170,157,175
M,173,160,169.8
M,174,169,179.4
F,174,169,169
F,174,164,176.2
F,174,164,168.6
M,169,163,173.3
M,180,163,174.5
M,180,163,179
F,180,163,172
M,168,154,168
M,168,154,177
M,173.5,150.4,172.1
F,168,166,156
M,168,166,175
M,172,158,181
F,172,158,173
M,167,163,178
M,167,163,169
F,176,168,170.6
M,173,165,178
M,173,165,180
M,168,154,177.4
F,168,154,152
M,180,162,173
M,166.5,143.2,169.3
M,166.5,143.2,165.3
M,178,167,186.8
F,181,160,173
M,181,160,184
M,173,152,174
F,173,152,160
F,173,152,160
M,168,162,173
F,168,162,168
F,168,162,160
M,169.7,158.3,172.2
F,169.7,158.3,161
M,169.7,158.3,170.1
M,165,160,176.7
F,171,164,169.8
M,171,164,178.5
M,170,163,172.3
F,170,163,160
F,181,161,167
M,181,161,177
F,178,170,163
F,178,170,174
M,170,168,172
M,170,168,176
M,170,160,170
M,170,160,172
F,178,154,159.5
M,178,154,178
M,168,156,168
M,168,156,172
F,175,156,156.9
F,175,156,159.6
F,175,156,160
F,170,168,163
F,170,168,168
M,180,154,183.7
F,180,154,158
F,168,158,163
F,168,158,160
M,175.2,165.3,182.3
M,175.2,165.3,180.2
M,169,162,170.1
M,169,162,172
M,165,162,177.5
F,165,162,168
M,170,159,168
M,170,159,172
M,180,154,178.8
F,176,163,162
F,176,163,164
F,176,163,163
M,176,163,182
F,176,163,167
F,173,158,165.7
F,173,158,168
F,173,158,160
F,185,161,166.7
F,168,169,160
M,168,169,172
F,178,163,159
F,170,158,160.5
F,170,158,162
M,177.2,154.2,174.7
M,173,163,175
F,173,163,153.2
M,180.2,165.1,185
F,180.2,165.1,172.7
M,168,158,178.5
F,168,158,159.8
M,180,167,181
M,180,167,185
M,180,158.2,172.1
F,180,158.2,157.3
M,162,155,174
F,162,155,153
F,163,155,157
F,163,155,154
M,163,155,175
M,171.5,161,181
M,171.5,161,176.5
M,172,164,180
M,172,164,175
M,172,164,172
M,173,160,172
F,173,160,158
F,179,163,166.5
M,179,163,182
M,165,160,175
F,167,160,158
M,167,161,170
F,167,161,162
F,167,150,165
M,167,150,171
M,167,150,168
M,168,157,168
M,167,161,169
F,167,161,161
F,167,161,163
F,178,155,163
F,178,155,160
M,178,155,178
F,171,152,155
F,171,152,154
F,171,152,158
F,173,158,158
F,173,158,157
M,168,171,176
M,168,176,188
F,174,156,162
M,173,162,177
F,173,162,158
M,168,157,183
M,168,157,171
M,180,168,186
F,180,168,170
M,175,165,175
F,175,165,163
M,175,165,184
M,181,159,179
F,181,159,167
M,164,168,171
M,164,168,183
F,174,154,156
F,174,154,165
F,172,153,157
F,172,153,163
M,172,153,163
F,173,150,158
F,173,150,153
F,171,160,166
F,171,160,162
F,180,161,168
F,180,161,166
F,180,161,164
M,179,162,178
F,179,162,160
M,178,168,181
F,178,168,163
M,182,161,174
F,182,161,161
F,167,160,168
F,167,160,164
M,167,160,174
M,179,168,168
F,179,168,181
M,171,155,175
F,171,155,161
F,180,155,161
F,180,155,160
F,170,161,163
M,170,161,172
F,175,164,169
F,175,164,164
M,175,150,170
F,175,150,162
M,170,156,179
F,170,156,158
M,170,171,180
F,170,171,173
F,180,165,169
M,174,158,173
F,174,158,168
M,178,165,190
M,178,165,187
M,178,159,188
M,178,159,178
M,171,156,172
M,171,156,172
M,165,155,173
F,165,155,160
M,175,156,167
M,175,156,172
M,169,165,172
F,169,165,159
M,171,161,169
M,171,161,178
F,171,161,164
F,183,163,164
F,183,163,170
M,157,163,178
F,157,163,155
M,165,157,168
M,175,158,178
M,175,158,183
M,178,170,183
M,176,157,179
M,176,157,173
M,172,153,176
F,172,153,156
M,182,152,172
F,182,152,162
M,180,162,177
F,180,162,163
M,180,162,175
M,175,165,179
M,170,161,167
M,170,161,169
M,178,164,185
F,178,164,158
M,177,160,175
M,177,160,178
F,174,160,166
F,174,160,167
F,170,157,160
F,170,157,160
F,174,159,158
M,174,159,178
F,187,165,176
F,187,165,170
F,169,153,156
F,169,153,160
F,169,153,166
F,175,150,155
F,175,167,163
M,175,167,173
M,180,158,179
F,180,158,160
F,172,150,167
M,172,150,180
F,173,158,160
M,165,156,167
M,174,167,177
M,174,167,177
M,170,160,180
F,170,160,156
M,172,155,175
F,172,155,164
M,165,160,178
F,165,160,160
M,160,160,180
M,165,160,171
M,165,160,177
M,171,157,184
M,170,169,175
F,170,169,153
M,174,152,174
M,174,152,173
F,174,152,160
F,174,152,163
F,170,160,167
M,170,160,182
M,178,163,183
F,178,163,169
M,175,150,177
F,175,150,152
M,185,155,174
F,185,155,169
M,175,165,177
F,175,165,163
F,160,162,150
F,160,162,160
M,160,162,168
M,174,165,174
F,171,156,160
M,171,156,172
F,171,156,159
M,168,155,175
F,168,155,163
F,163,165,161
M,163,165,180
M,173,165,178
M,173,165,186
F,167,153,172
M,167,153,160
F,165,148,153
F,165,148,163
F,171,155,175
F,171,155,158
F,160,155,158
F,160,155,159
F,164,158,158
F,164,158,163
M,164,158,168
M,170,153,173
M,170,153,175
F,174,166,150
F,174,166,165
M,174,166,178
F,173,163,167
M,173,163,182
F,173,163,170
M,178,165,182
M,178,165,183
M,175,160,176
M,175,160,172
F,178,163,163
M,178,163,181
F,178,163,168
F,174,164,167
F,174,164,168
M,174,164,184
F,176,155,161
F,176,155,163
M,172,156,173
F,172,156,158
M,168,160,175
M,168,160,178
F,172,155,165
F,172,155,167
F,172,155,155
M,165,165,178
M,165,165,175
F,173,158,155
F,173,158,156
M,178,171,187
F,178,171,176
F,167,163,157
F,167,163,160
F,178,166,168
F,178,166,165
M,178,166,187
F,167,152,161
M,167,152,170
F,173,162,165
F,173,162,163
F,169,155,155
F,169,155,155
F,175,168,163
M,175,168,177
M,175,168,177
F,178,163,164
F,180,157,163
M,180,157,178
F,172,158,162
F,173,162,163
M,173,162,174
M,175,165,178
M,175,165,176
F,160,160,156
M,160,160,173
M,178,165,177
F,178,165,167
F,164,165,158
M,164,165,167
F,178,158,164
M,178,158,185
F,170,159,163
F,170,159,159
F,170,159,165
M,176,164,178
M,176,164,185
M,172,166,175
M,172,166,176
F,173,158,165
F,173,158,157
F,173,158,162
M,182,160,186
M,182,160,180
M,175,168,177
M,175,168,177
F,172,154,162
F,172,154,162
F,172,154,162
M,177,157,174
M,177,157,180
F,171,164,156
M,171,164,182
M,173,163,187
M,168,155,173
F,168,155,160
M,168,160,179
M,168,160,177
F,172,158,162
M,172,158,175
F,185,164,160
M,185,164,182
F,176,154,167
F,173,160,166
F,173,160,163
F,172,168,167
M,172,158,173
M,172,158,172
M,168,158,179
F,168,158,154
F,170,159,159
F,170,159,158
F,175,160,155
F,175,160,156
M,175,160,173
M,183,160,184
F,183,160,170
F,178,160,161
F,178,160,160
F,168,157,164
F,168,157,158
F,184,168,166
M,184,168,187
F,178,157,163
F,178,157,159
F,175,165,160
F,175,165,158
F,178,160,164
F,178,160,171
F,174,156,157
F,174,156,162
F,173,168,170
M,173,168,178
M,183,163,180
M,179,171,178
F,179,171,163
F,171,163,165
M,171,163,174
F,174,164,173
M,174,164,175
F,174,164,165
F,176,158,157
F,176,158,156
M,176,158,174
F,184,163,166
M,184,163,178
F,177,157,158
M,177,157,178
F,170,151,158
F,170,151,154
F,174,160,163
F,171,152,165
F,171,152,158
F,170,156,158
M,170,156,178
M,175,165,180
M,175,165,180
F,175,158,164
F,175,158,160
M,175,158,180
M,183,164,175
F,172,160,170
F,172,160,162
M,172,160,178
M,172,159,171
M,181,160,177
M,181,160,180
M,177,159,180
F,177,159,167
F,172,160,163
M,172,160,175
M,180,154,180
M,170,158,175
F,173,155,164
M,173,155,174
F,179,155,169
M,179,155,173
F,166,161,161
M,166,161,174
F,166,161,159
F,172,164,168
M,172,164,174
M,167,158,174
M,188,165,186
F,188,165,173
M,177,159,174
F,177,159,160
M,168,164,169
F,168,164,170
M,165,150,172
F,177,160,171
F,179,155,165
M,179,155,181
M,186,163,180
F,186,163,161
F,186,163,164
M,163,157,177
M,163,157,172
F,174,152,171
F,174,152,164
F,172,162,168
M,178,165,179
F,178,165,163
F,173,160,169
F,173,160,158
M,170,170,174
M,170,170,184
F,181,168,168
F,171,154,160
M,171,154,170
M,199.39,170.18,185.928
F,199.39,170.18,175.768
F,199.39,170.18,175.26
F,199.39,170.18,175.26
M,191.77,168.91,186.69
M,191.77,168.91,184.15
F,191.77,168.91,166.37
F,191.77,168.91,166.37
M,190.5,162.56,180.34
F,190.5,162.56,172.72
M,190.5,162.56,179.07
M,190.5,162.56,173.99
F,190.5,162.56,170.18
F,190.5,162.56,163.83
F,190.5,162.56,160.02
M,190.5,148.59,182.88
M,190.5,148.59,175.26
M,190.5,148.59,172.72
F,190.5,148.59,168.91
F,190.5,148.59,158.75
F,190.5,148.59,158.75
F,187.96,172.72,176.53
M,187.96,172.72,194.31
M,187.96,172.72,187.96
M,187.96,172.72,185.42
M,187.96,172.72,185.42
F,187.96,172.72,179.07
F,187.96,172.72,162.56
F,187.96,168.91,179.07
F,187.96,168.91,172.72
F,187.96,168.91,167.64
F,189.23,167.64,167.64
F,187.96,166.37,166.37
M,187.96,157.48,187.96
M,187.96,157.48,177.8
F,187.96,157.48,172.72
F,187.96,157.48,170.18
F,187.96,157.48,170.18
F,187.96,157.48,167.64
F,187.96,157.48,161.29
F,187.96,157.48,160.02
F,187.96,154.94,165.1
M,185.42,170.18,172.72
M,185.42,170.18,170.18
M,185.42,168.91,180.34
M,185.42,168.91,179.07
F,185.42,168.91,169.418
M,185.42,165.1,182.88
M,185.42,165.1,179.07
M,185.42,165.1,178.308
M,185.42,165.1,178.308
M,185.42,165.1,175.768
F,185.42,165.1,174.498
F,185.42,165.1,168.91
F,185.42,165.1,163.83
F,185.42,165.1,161.29
M,185.42,163.83,187.96
M,185.42,163.83,185.42
M,185.42,163.83,181.61
M,185.42,163.83,158.75
F,185.42,163.83,168.91
F,185.42,163.83,158.242
F,185.42,162.56,167.64
F,185.42,162.56,163.83
F,185.42,162.56,162.56
F,185.928,160.02,159.258
M,184.658,175.26,185.928
M,184.658,175.26,185.42
M,184.658,175.26,184.658
F,184.658,175.26,177.8
F,184.658,175.26,175.26
F,184.658,175.26,173.99
F,184.658,175.26,172.72
F,184.658,175.26,167.64
M,182.88,172.72,185.42
F,182.88,172.72,173.99
F,182.88,172.72,172.72
M,182.88,170.18,185.42
M,182.88,170.18,180.34
F,182.88,170.18,170.18
M,182.88,165.1,188.468
M,182.88,165.1,179.07
M,182.88,165.1,176.53
F,182.88,165.1,167.64
F,182.88,165.1,166.37
F,182.88,165.1,165.1
F,182.88,165.1,165.1
F,182.88,166.37,166.37
F,182.88,162.56,167.64
F,182.88,162.56,160.02
M,182.88,160.02,179.07
M,182.88,160.02,179.07
M,182.88,160.02,175.26
F,182.88,160.02,165.1
F,182.88,160.02,160.02
M,182.88,160.02,175.26
M,182.88,160.02,170.18
F,182.88,160.02,160.02
M,182.88,160.02,185.42
M,182.88,160.02,170.18
F,182.88,160.02,179.07
F,182.88,160.02,177.8
F,182.88,160.02,168.91
F,182.88,160.02,160.02
F,184.15,161.29,171.45
F,184.15,161.29,170.688
F,184.15,161.29,169.418
F,182.88,157.48,162.56
M,184.15,157.48,180.34
M,184.15,157.48,177.8
M,184.15,157.48,177.8
F,184.15,157.48,167.64
F,184.15,157.48,165.1
F,184.15,157.48,165.1
M,182.88,157.48,187.96
M,182.88,157.48,182.88
M,182.88,157.48,175.26
F,182.88,157.48,171.45
F,182.88,157.48,161.29
M,182.88,157.48,182.88
M,182.88,157.48,181.61
M,182.88,157.48,181.61
M,182.88,157.48,177.8
F,182.88,157.48,172.72
F,182.88,154.94,166.878
M,180.34,175.26,198.12
M,180.34,175.26,187.96
M,180.34,175.26,185.42
M,180.34,175.26,182.88
F,180.34,175.26,170.18
M,180.34,170.18,185.928
M,180.34,170.18,185.42
M,180.34,170.18,175.26
F,180.34,170.18,170.18
M,180.34,167.64,177.8
F,180.34,167.64,170.18
F,180.34,167.64,170.18
F,180.34,167.64,168.91
M,180.34,167.64,177.8
M,180.34,167.64,175.26
M,180.34,167.64,173.99
F,180.34,167.64,167.64
F,180.34,167.64,163.83
F,180.34,167.64,160.02
M,180.34,167.64,180.34
F,180.34,167.64,170.18
M,180.34,167.64,193.04
M,180.34,167.64,182.88
M,180.34,167.64,180.34
M,180.34,167.64,167.64
F,180.34,167.64,167.64
M,182.118,166.37,179.07
M,180.34,166.37,182.88
M,180.34,166.37,182.88
M,180.34,166.37,180.34
M,180.34,166.37,175.26
F,180.34,166.37,167.64
F,180.34,166.37,165.1
M,181.61,166.37,185.42
F,181.61,166.37,165.608
M,181.61,165.1,173.99
M,181.61,165.1,171.958
M,180.34,165.1,172.72
M,180.34,165.1,172.72
F,180.34,165.1,157.48
F,180.34,162.56,172.72
F,180.34,162.56,172.72
F,180.34,162.56,171.45
F,180.34,162.56,168.91
F,180.34,162.56,168.91
F,180.34,162.56,167.64
F,180.34,162.56,166.37
F,180.34,162.56,165.1
M,182.118,163.83,182.88
M,182.118,163.83,180.34
M,182.118,163.83,179.07
F,182.118,163.83,170.18
M,180.34,162.56,172.72
M,180.34,162.56,172.72
M,180.34,162.56,172.72
M,181.61,163.83,182.88
M,181.61,163.83,180.34
M,181.61,163.83,177.8
F,181.61,163.83,167.64
F,181.61,163.83,163.83
F,181.61,163.83,163.83
F,181.61,163.83,157.48
F,180.848,160.02,171.45
F,180.848,160.02,163.83
M,180.34,161.29,180.34
M,180.34,161.29,170.18
F,180.34,161.29,167.64
F,180.34,161.29,165.1
F,180.34,161.29,161.29
M,180.34,160.02,180.34
M,180.34,160.02,177.8
M,180.34,160.02,177.8
M,180.34,160.02,162.56
F,180.34,160.02,165.1
F,180.34,160.02,165.1
F,180.34,160.02,162.56
F,180.34,160.02,160.02
F,180.34,160.02,160.02
M,180.34,160.02,180.34
M,180.34,160.02,180.34
M,180.34,160.02,177.8
F,180.34,160.02,161.29
M,180.34,157.48,180.34
M,180.34,157.48,177.8
F,180.34,157.48,163.83
F,180.34,157.48,158.75
F,180.34,157.48,156.21
M,180.34,157.48,182.88
M,180.34,157.48,179.07
M,180.34,157.48,179.07
F,180.34,157.48,163.83
F,180.34,157.48,152.4
M,180.34,158.75,177.8
F,180.34,158.75,162.56
F,180.34,158.75,162.56
F,180.34,158.75,162.56
F,180.34,158.75,158.75
M,180.34,157.48,179.07
M,180.34,157.48,177.8
M,180.34,157.48,175.26
M,180.34,157.48,175.26
M,180.34,157.48,167.64
F,180.34,157.48,163.83
F,180.34,157.48,162.56
F,180.34,154.94,157.48
M,180.34,147.32,181.61
M,180.34,147.32,175.26
M,177.8,175.26,180.34
M,177.8,175.26,177.8
M,177.8,175.26,175.26
F,177.8,175.26,175.26
M,177.8,175.26,177.8
M,177.8,175.26,174.498
F,177.8,175.26,172.72
F,177.8,175.26,167.64
F,177.8,175.26,162.56
