,Gender,Kids,Father(cm),mother(cm),Height(cm)
0,M,2,177.0,155.0,173.0
1,M,2,177.0,155.0,171.0
2,M,2,174.0,160.0,173.0
3,M,2,174.0,160.0,172.0
4,M,1,174.0,164.0,172.0
5,F,3,172.0,163.0,173.0
6,F,3,172.0,163.0,168.5
7,M,3,172.0,163.0,178.0
8,M,2,168.0,166.0,167.0
9,M,2,168.0,166.0,169.0
10,M,1,175.0,165.0,174.9
11,F,2,168.0,158.0,153.6
12,F,2,168.0,158.0,152.0
13,M,2,168.0,155.0,171.7
14,F,2,168.0,155.0,161.0
15,M,2,170.0,160.0,167.0
16,M,2,170.0,160.0,183.0
17,M,3,172.0,165.0,179.0
18,F,3,172.0,165.0,160.0
19,M,3,172.0,165.0,172.0
20,M,1,175.3,163.2,183.1
21,M,3,170.0,160.0,178.0
22,F,3,170.0,160.0,160.0
23,F,3,170.0,160.0,160.0
24,M,3,174.1,162.0,188.2
25,M,3,174.1,162.0,182.0
26,F,3,174.1,162.0,165.0
27,M,1,186.7,153.5,174.2
28,F,3,171.0,163.0,153.6
29,M,3,171.0,163.0,179.0
30,M,3,171.0,163.0,179.0
31,M,2,179.0,160.0,180.0
32,F,2,179.0,160.0,160.0
33,F,2,178.0,165.0,161.0
34,M,2,178.0,165.0,185.0
35,M,1,178.0,163.0,174.0
36,M,2,165.42,168.65,176.73
37,F,2,165.42,168.65,168.64
38,F,1,178.7,165.4,167.5
39,M,2,173.2,166.8,178.2
40,M,2,173.2,166.8,173.7
41,M,1,175.0,160.0,171.3
42,M,2,164.0,159.0,165.0
43,F,2,164.0,159.0,160.0
44,M,2,167.0,162.0,180.1
45,F,2,167.0,162.0,164.0
46,M,2,170.0,169.0,173.1
47,F,2,170.0,169.0,165.0
48,F,2,171.0,162.0,164.0
49,F,2,171.0,162.0,162.0
50,F,2,177.8,159.8,165.2
51,M,2,177.8,159.8,173.0
52,F,2,175.0,164.5,164.8
53,F,2,175.0,164.5,159.0
54,M,2,177.5,153.0,179.3
55,M,2,177.5,153.0,174.1
56,M,1,173.0,160.0,173.0
57,M,2,170.0,163.0,190.0
58,M,2,170.0,163.0,177.0
59,M,2,172.5,159.0,170.0
60,F,2,172.5,159.0,162.0
61,F,2,176.0,162.0,165.0
62,M,2,176.0,162.0,172.0
63,M,2,170.0,160.0,173.0
64,M,2,170.0,160.0,173.0
65,F,1,158.0,153.0,155.0
66,M,3,168.0,156.0,168.0
67,F,3,168.0,156.0,162.0
68,M,3,168.0,156.0,178.0
69,M,2,173.0,163.0,178.0
70,F,2,173.0,163.0,160.0
71,M,2,178.0,154.0,160.2
72,M,2,178.0,154.0,178.0
73,M,2,176.0,158.0,178.8
74,F,2,176.0,158.0,159.0
75,F,1,174.0,160.0,160.3
76,F,2,168.0,163.0,173.0
77,M,2,168.0,163.0,181.0
78,F,3,170.0,157.0,160.4
79,F,3,170.0,157.0,158.0
80,M,3,170.0,157.0,175.0
81,M,1,173.0,160.0,169.8
82,M,2,174.0,169.0,179.4
83,F,2,174.0,169.0,169.0
84,F,2,174.0,164.0,176.2
85,F,2,174.0,164.0,168.6
86,M,1,169.0,163.0,173.3
87,M,3,180.0,163.0,174.5
88,M,3,180.0,163.0,179.0
89,F,3,180.0,163.0,172.0
90,M,2,168.0,154.0,168.0
91,M,2,168.0,154.0,177.0
92,M,1,173.5,150.4,172.1
93,F,2,168.0,166.0,156.0
94,M,2,168.0,166.0,175.0
95,M,2,172.0,158.0,181.0
96,F,2,172.0,158.0,173.0
97,M,2,167.0,163.0,178.0
98,M,2,167.0,163.0,169.0
99,F,1,176.0,168.0,170.6
100,M,2,173.0,165.0,178.0
101,M,2,173.0,165.0,180.0
102,M,2,168.0,154.0,177.4
103,F,2,168.0,154.0,152.0
104,M,1,180.0,162.0,173.0
105,M,2,166.5,143.2,169.3
106,M,2,166.5,143.2,165.3
107,M,1,178.0,167.0,186.8
108,F,2,181.0,160.0,173.0
109,M,2,181.0,160.0,184.0
110,M,3,173.0,152.0,174.0
111,F,3,173.0,152.0,160.0
112,F,3,173.0,152.0,160.0
113,M,3,168.0,162.0,173.0
114,F,3,168.0,162.0,168.0
115,F,3,168.0,162.0,160.0
116,M,3,169.7,158.3,172.2
117,F,3,169.7,158.3,161.0
118,M,3,169.7,158.3,170.1
119,M,1,165.0,160.0,176.7
120,F,2,171.0,164.0,169.8
121,M,2,171.0,164.0,178.5
122,M,2,170.0,163.0,172.3
123,F,2,170.0,163.0,160.0
124,F,2,181.0,161.0,167.0
125,M,2,181.0,161.0,177.0
126,F,2,178.0,170.0,163.0
127,F,2,178.0,170.0,174.0
128,M,2,170.0,168.0,172.0
129,M,2,170.0,168.0,176.0
130,M,2,170.0,160.0,170.0
131,M,2,170.0,160.0,172.0
132,F,2,178.0,154.0,159.5
133,M,2,178.0,154.0,178.0
134,M,2,168.0,156.0,168.0
135,M,2,168.0,156.0,172.0
136,F,3,175.0,156.0,156.9
137,F,3,175.0,156.0,159.6
138,F,3,175.0,156.0,160.0
139,F,2,170.0,168.0,163.0
140,F,2,170.0,168.0,168.0
141,M,2,180.0,154.0,183.7
142,F,2,180.0,154.0,158.0
143,F,2,168.0,158.0,163.0
144,F,2,168.0,158.0,160.0
145,M,2,175.2,165.3,182.3
146,M,2,175.2,165.3,180.2
147,M,2,169.0,162.0,170.1
148,M,2,169.0,162.0,172.0
149,M,2,165.0,162.0,177.5
150,F,2,165.0,162.0,168.0
151,M,2,170.0,159.0,168.0
152,M,2,170.0,159.0,172.0
153,M,1,180.0,154.0,178.8
154,F,5,176.0,163.0,162.0
155,F,5,176.0,163.0,164.0
156,F,5,176.0,163.0,163.0
157,M,5,176.0,163.0,182.0
158,F,5,176.0,163.0,167.0
159,F,3,173.0,158.0,165.7
160,F,3,173.0,158.0,168.0
161,F,3,173.0,158.0,160.0
162,F,1,185.0,161.0,166.7
163,F,2,168.0,169.0,160.0
164,M,2,168.0,169.0,172.0
165,F,1,178.0,163.0,159.0
166,F,2,170.0,158.0,160.5
167,F,2,170.0,158.0,162.0
168,M,1,177.2,154.2,174.7
169,M,2,173.0,163.0,175.0
170,F,2,173.0,163.0,153.2
171,M,2,180.2,165.1,185.0
172,F,2,180.2,165.1,172.7
173,M,2,168.0,158.0,178.5
174,F,2,168.0,158.0,159.8
175,M,2,180.0,167.0,181.0
176,M,2,180.0,167.0,185.0
177,M,2,180.0,158.2,172.1
178,F,2,180.0,158.2,157.3
179,M,2,162.0,155.0,174.0
180,F,2,162.0,155.0,153.0
181,F,3,163.0,155.0,157.0
182,F,3,163.0,155.0,154.0
183,M,3,163.0,155.0,175.0
184,M,2,171.5,161.0,181.0
185,M,2,171.5,161.0,176.5
186,M,3,172.0,164.0,180.0
187,M,3,172.0,164.0,175.0
188,M,3,172.0,164.0,172.0
189,M,2,173.0,160.0,172.0
190,F,2,173.0,160.0,158.0
191,F,2,179.0,163.0,166.5
192,M,2,179.0,163.0,182.0
193,M,1,165.0,160.0,175.0
194,M,2,171.0,162.0,177.0
195,F,2,171.0,162.0,165.0
