Family,Father,Mother,Gender,Height,Kids,Father(cm),mother(cm),Height(cm)
1,69.7,61.0,M,68.1,2,177.0,155.0,173.0
1,69.7,61.0,M,67.3,2,177.0,155.0,171.0
2,68.5,63.0,M,68.1,2,174.0,160.0,173.0
2,68.5,63.0,M,67.7,2,174.0,160.0,172.0
3,68.5,64.6,M,67.7,1,174.0,164.0,172.0
4,67.7,64.2,F,68.1,3,172.0,163.0,173.0
4,67.7,64.2,F,66.3,3,172.0,163.0,168.5
4,67.7,64.2,M,70.1,3,172.0,163.0,178.0
5,66.1,65.4,M,65.7,2,168.0,166.0,167.0
5,66.1,65.4,M,66.5,2,168.0,166.0,169.0
6,68.9,65.0,M,68.9,1,175.0,165.0,174.9
7,66.1,62.2,F,60.5,2,168.0,158.0,153.6
7,66.1,62.2,F,59.8,2,168.0,158.0,152.0
8,66.1,61.0,M,67.6,2,168.0,155.0,171.7
8,66.1,61.0,F,63.4,2,168.0,155.0,161.0
9,66.9,63.0,M,65.7,2,170.0,160.0,167.0
9,66.9,63.0,M,72.0,2,170.0,160.0,183.0
10,67.7,65.0,M,70.5,3,172.0,165.0,179.0
10,67.7,65.0,F,63.0,3,172.0,165.0,160.0
10,67.7,65.0,M,67.7,3,172.0,165.0,172.0
11,69.0,64.3,M,72.1,1,175.3,163.2,183.1
12,66.9,63.0,M,70.1,3,170.0,160.0,178.0
12,66.9,63.0,F,63.0,3,170.0,160.0,160.0
12,66.9,63.0,F,63.0,3,170.0,160.0,160.0
13,68.5,63.8,M,74.1,3,174.1,162.0,188.2
13,68.5,63.8,M,71.7,3,174.1,162.0,182.0
13,68.5,63.8,F,65.0,3,174.1,162.0,165.0
14,73.5,60.4,M,68.6,1,186.7,153.5,174.2
15,67.3,64.2,F,60.5,3,171.0,163.0,153.6
15,67.3,64.2,M,70.5,3,171.0,163.0,179.0
15,67.3,64.2,M,70.5,3,171.0,163.0,179.0
16,70.5,63.0,M,70.9,2,179.0,160.0,180.0
16,70.5,63.0,F,63.0,2,179.0,160.0,160.0
17,70.1,65.0,F,63.4,2,178.0,165.0,161.0
17,70.1,65.0,M,72.8,2,178.0,165.0,185.0
18,70.1,64.2,M,68.5,1,178.0,163.0,174.0
19,65.1,66.4,M,69.6,2,165.42,168.65,176.73
19,65.1,66.4,F,66.4,2,165.42,168.65,168.64
20,70.4,65.1,F,65.9,1,178.7,165.4,167.5
21,68.2,65.7,M,70.2,2,173.2,166.8,178.2
21,68.2,65.7,M,68.4,2,173.2,166.8,173.7
22,68.9,63.0,M,67.4,1,175.0,160.0,171.3
23,64.6,62.6,M,65.0,2,164.0,159.0,165.0
23,64.6,62.6,F,63.0,2,164.0,159.0,160.0
24,65.7,63.8,M,70.9,2,167.0,162.0,180.1
24,65.7,63.8,F,64.6,2,167.0,162.0,164.0
25,66.9,66.5,M,68.1,2,170.0,169.0,173.1
25,66.9,66.5,F,65.0,2,170.0,169.0,165.0
26,67.3,63.8,F,64.6,2,171.0,162.0,164.0
26,67.3,63.8,F,63.8,2,171.0,162.0,162.0
27,70.0,62.9,F,65.0,2,177.8,159.8,165.2
27,70.0,62.9,M,68.1,2,177.8,159.8,173.0
28,68.9,64.8,F,64.9,2,175.0,164.5,164.8
28,68.9,64.8,F,62.6,2,175.0,164.5,159.0
29,69.9,60.2,M,70.6,2,177.5,153.0,179.3
29,69.9,60.2,M,68.5,2,177.5,153.0,174.1
30,68.1,63.0,M,68.1,1,173.0,160.0,173.0
31,66.9,64.2,M,74.8,2,170.0,163.0,190.0
31,66.9,64.2,M,69.7,2,170.0,163.0,177.0
32,67.9,62.6,M,66.9,2,172.5,159.0,170.0
32,67.9,62.6,F,63.8,2,172.5,159.0,162.0
33,69.3,63.8,F,65.0,2,176.0,162.0,165.0
33,69.3,63.8,M,67.7,2,176.0,162.0,172.0
34,66.9,63.0,M,68.1,2,170.0,160.0,173.0
34,66.9,63.0,M,68.1,2,170.0,160.0,173.0
35,62.2,60.2,F,61.0,1,158.0,153.0,155.0
36,66.1,61.4,M,66.1,3,168.0,156.0,168.0
36,66.1,61.4,F,63.8,3,168.0,156.0,162.0
36,66.1,61.4,M,70.1,3,168.0,156.0,178.0
37,68.1,64.2,M,70.1,2,173.0,163.0,178.0
37,68.1,64.2,F,63.0,2,173.0,163.0,160.0
38,70.1,60.6,M,63.1,2,178.0,154.0,160.2
38,70.1,60.6,M,70.1,2,178.0,154.0,178.0
39,69.3,62.2,M,70.4,2,176.0,158.0,178.8
39,69.3,62.2,F,62.6,2,176.0,158.0,159.0
40,68.5,63.0,F,63.1,1,174.0,160.0,160.3
41,66.1,64.2,F,68.1,2,168.0,163.0,173.0
41,66.1,64.2,M,71.3,2,168.0,163.0,181.0
42,66.9,61.8,F,63.1,3,170.0,157.0,160.4
42,66.9,61.8,F,62.2,3,170.0,157.0,158.0
42,66.9,61.8,M,68.9,3,170.0,157.0,175.0
43,68.1,63.0,M,66.9,1,173.0,160.0,169.8
44,68.5,66.5,M,70.6,2,174.0,169.0,179.4
44,68.5,66.5,F,66.5,2,174.0,169.0,169.0
45,68.5,64.6,F,69.4,2,174.0,164.0,176.2
45,68.5,64.6,F,66.4,2,174.0,164.0,168.6
46,66.5,64.2,M,68.2,1,169.0,163.0,173.3
47,70.9,64.2,M,68.7,3,180.0,163.0,174.5
47,70.9,64.2,M,70.5,3,180.0,163.0,179.0
47,70.9,64.2,F,67.7,3,180.0,163.0,172.0
48,66.1,60.6,M,66.1,2,168.0,154.0,168.0
48,66.1,60.6,M,69.7,2,168.0,154.0,177.0
49,68.3,59.2,M,67.8,1,173.5,150.4,172.1
50,66.1,65.4,F,61.4,2,168.0,166.0,156.0
50,66.1,65.4,M,68.9,2,168.0,166.0,175.0
51,67.7,62.2,M,71.3,2,172.0,158.0,181.0
51,67.7,62.2,F,68.1,2,172.0,158.0,173.0
52,65.7,64.2,M,70.1,2,167.0,163.0,178.0
52,65.7,64.2,M,66.5,2,167.0,163.0,169.0
53,69.3,66.1,F,67.2,1,176.0,168.0,170.6
54,68.1,65.0,M,70.1,2,173.0,165.0,178.0
54,68.1,65.0,M,70.9,2,173.0,165.0,180.0
55,66.1,60.6,M,69.8,2,168.0,154.0,177.4
55,66.1,60.6,F,59.8,2,168.0,154.0,152.0
56,70.9,63.8,M,68.1,1,180.0,162.0,173.0
57,65.6,56.4,M,66.7,2,166.5,143.2,169.3
57,65.6,56.4,M,65.1,2,166.5,143.2,165.3
58,70.1,65.7,M,73.5,1,178.0,167.0,186.8
59,71.3,63.0,F,68.1,2,181.0,160.0,173.0
59,71.3,63.0,M,72.4,2,181.0,160.0,184.0
60,68.1,59.8,M,68.5,3,173.0,152.0,174.0
60,68.1,59.8,F,63.0,3,173.0,152.0,160.0
60,68.1,59.8,F,63.0,3,173.0,152.0,160.0
61,66.1,63.8,M,68.1,3,168.0,162.0,173.0
61,66.1,63.8,F,66.1,3,168.0,162.0,168.0
61,66.1,63.8,F,63.0,3,168.0,162.0,160.0
62,66.8,62.3,M,67.8,3,169.7,158.3,172.2
62,66.8,62.3,F,63.4,3,169.7,158.3,161.0
62,66.8,62.3,M,67.0,3,169.7,158.3,170.1
63,65.0,63.0,M,69.6,1,165.0,160.0,176.7
64,67.3,64.6,F,66.9,2,171.0,164.0,169.8
64,67.3,64.6,M,70.3,2,171.0,164.0,178.5
65,66.9,64.2,M,67.8,2,170.0,163.0,172.3
65,66.9,64.2,F,63.0,2,170.0,163.0,160.0
66,71.3,63.4,F,65.7,2,181.0,161.0,167.0
66,71.3,63.4,M,69.7,2,181.0,161.0,177.0
67,70.1,66.9,F,64.2,2,178.0,170.0,163.0
67,70.1,66.9,F,68.5,2,178.0,170.0,174.0
68,66.9,66.1,M,67.7,2,170.0,168.0,172.0
68,66.9,66.1,M,69.3,2,170.0,168.0,176.0
69,66.9,63.0,M,66.9,2,170.0,160.0,170.0
69,66.9,63.0,M,67.7,2,170.0,160.0,172.0
70,70.1,60.6,F,62.8,2,178.0,154.0,159.5
70,70.1,60.6,M,70.1,2,178.0,154.0,178.0
71,66.1,61.4,M,66.1,2,168.0,156.0,168.0
71,66.1,61.4,M,67.7,2,168.0,156.0,172.0
72,68.9,61.4,F,61.8,3,175.0,156.0,156.9
72,68.9,61.4,F,62.8,3,175.0,156.0,159.6
72,68.9,61.4,F,63.0,3,175.0,156.0,160.0
73,66.9,66.1,F,64.2,2,170.0,168.0,163.0
73,66.9,66.1,F,66.1,2,170.0,168.0,168.0
74,70.9,60.6,M,72.3,2,180.0,154.0,183.7
74,70.9,60.6,F,62.2,2,180.0,154.0,158.0
75,66.1,62.2,F,64.2,2,168.0,158.0,163.0
75,66.1,62.2,F,63.0,2,168.0,158.0,160.0
76,69.0,65.1,M,71.8,2,175.2,165.3,182.3
76,69.0,65.1,M,70.9,2,175.2,165.3,180.2
77,66.5,63.8,M,67.0,2,169.0,162.0,170.1
77,66.5,63.8,M,67.7,2,169.0,162.0,172.0
78,65.0,63.8,M,69.9,2,165.0,162.0,177.5
78,65.0,63.8,F,66.1,2,165.0,162.0,168.0
79,66.9,62.6,M,66.1,2,170.0,159.0,168.0
79,66.9,62.6,M,67.7,2,170.0,159.0,172.0
80,70.9,60.6,M,70.4,1,180.0,154.0,178.8
81,69.3,64.2,F,63.8,5,176.0,163.0,162.0
81,69.3,64.2,F,64.6,5,176.0,163.0,164.0
81,69.3,64.2,F,64.2,5,176.0,163.0,163.0
81,69.3,64.2,M,71.7,5,176.0,163.0,182.0
81,69.3,64.2,F,65.7,5,176.0,163.0,167.0
82,68.1,62.2,F,65.2,3,173.0,158.0,165.7
82,68.1,62.2,F,66.1,3,173.0,158.0,168.0
82,68.1,62.2,F,63.0,3,173.0,158.0,160.0
83,72.8,63.4,F,65.6,1,185.0,161.0,166.7
84,66.1,66.5,F,63.0,2,168.0,169.0,160.0
84,66.1,66.5,M,67.7,2,168.0,169.0,172.0
85,70.1,64.2,F,62.6,1,178.0,163.0,159.0
86,66.9,62.2,F,63.2,2,170.0,158.0,160.5
