Family,Father(inch),Mother(inch),Gender,Height(inch),Kids,Father(cm),mother(cm),Height(cm)
1,70 ,64 ,F,65 ,2,179,162,165
1,70 ,64 ,F,65 ,2,179,162,164
2,68 ,63 ,F,68 ,2,173,161,173.6
2,68 ,63 ,F,66 ,2,173,161,168
3,68 ,64 ,F,67 ,2,172,163,169
3,68 ,64 ,F,63 ,2,172,163,160
4,68 ,61 ,F,63 ,2,173,155,159
4,68 ,61 ,F,66 ,2,173,155,168
5,69 ,64 ,F,64 ,2,175,162,163
5,69 ,64 ,F,64 ,2,175,162,162
6,68 ,65 ,F,67 ,2,172,165,169
6,68 ,65 ,M,71 ,2,172,165,180
7,70 ,63 ,F,67 ,2,178,160,170
7,70 ,63 ,M,67 ,2,178,160,171
8,66 ,66 ,F,61 ,2,168,167,156
8,66 ,66 ,M,69 ,2,168,167,175
9,69 ,60 ,F,63 ,3,174,153,161
9,69 ,60 ,F,62 ,3,174,153,158
9,69 ,60 ,M,70 ,3,174,153,177
10,68 ,66 ,F,67 ,1,173,167,170
11,71 ,63 ,F,65 ,3,180,161,166
11,71 ,63 ,F,66 ,3,180,161,167
11,71 ,63 ,F,68 ,3,180,161,172
12,70 ,67 ,M,74 ,1,178,170,188
13,65 ,62 ,M,69 ,1,165,157,174
14,67 ,62 ,F,59 ,1,171,158,150
15,66 ,66 ,M,69 ,1,167,167,176
16,67 ,63 ,M,72 ,1,169,161,182
17,68 ,62 ,F,61 ,2,173,158,155
17,68 ,62 ,M,68 ,2,173,158,173
18,69 ,63 ,M,71 ,2,174,159,180
18,69 ,63 ,M,71 ,2,174,159,180
19,67 ,64 ,M,69 ,1,170,163,174
20,68 ,64 ,F,72 ,2,173,163,183
20,68 ,64 ,M,66 ,2,173,163,167
21,67 ,62 ,M,72 ,1,171,158,182
22,71 ,67 ,F,62 ,2,180,169,158
22,71 ,67 ,M,70 ,2,180,169,179
23,72 ,64 ,F,65 ,2,182,162,166
23,72 ,64 ,F,66 ,2,182,162,168
24,63 ,68 ,M,70 ,1,160,172,178
25,68 ,65 ,F,65 ,2,172,165,166
25,68 ,65 ,M,71 ,2,172,165,180
26,68 ,62 ,F,65 ,1,172,157,166
27,65 ,62 ,M,66 ,1,165,158,167
28,70 ,65 ,F,62 ,1,178,164,158
29,73 ,65 ,F,66 ,2,185,165,167
29,73 ,65 ,M,71 ,2,185,165,181
30,69 ,63 ,F,65 ,2,175,160,166
30,69 ,63 ,M,71 ,2,175,160,180
31,68 ,64 ,F,66 ,2,173,163,167
31,68 ,64 ,F,66 ,2,173,163,168
32,69 ,63 ,M,72 ,1,175,161,183
33,70 ,62 ,F,64 ,2,178,158,163
33,70 ,62 ,F,66 ,2,178,158,168
34,73 ,63 ,F,67 ,1,185,160,170
35,70 ,64 ,F,67 ,1,177,162,170
36,65 ,62 ,M,66 ,1,165,158,168
37,66 ,67 ,M,69 ,2,167,171,176
37,66 ,67 ,M,72 ,2,167,171,182
38,70 ,61 ,F,64 ,2,177,156,163
38,70 ,61 ,F,63 ,2,177,156,159
39,69 ,63 ,F,64 ,1,175,161,163
40,71 ,68 ,F,66 ,2,181,172,167
40,71 ,68 ,M,66 ,2,181,172,167
41,66 ,62 ,F,65 ,1,167,157,164
42,67 ,61 ,M,72 ,2,171,156,182
42,67 ,61 ,F,65 ,2,171,156,166
43,67 ,61 ,F,62 ,3,170,155,158
43,67 ,61 ,F,63 ,3,170,155,161
43,67 ,61 ,M,70 ,3,170,155,178
44,69 ,65 ,M,71 ,2,174,166,181
44,69 ,65 ,M,72 ,2,174,166,184
45,70 ,63 ,F,66 ,1,178,160,168
46,69 ,66 ,M,69 ,2,174,168,175
46,69 ,66 ,F,65 ,2,174,168,165
47,69 ,62 ,M,67 ,2,175,158,171
47,69 ,62 ,M,67 ,2,175,158,170
48,68 ,65 ,F,64 ,2,173,165,163
48,68 ,65 ,F,64 ,2,173,165,162
49,69 ,62 ,F,63 ,1,175,157,161
50,66 ,64 ,F,63 ,2,168,163,161
50,66 ,64 ,F,62 ,2,168,163,158
51,66 ,63 ,F,66 ,3,167,160,168
51,66 ,63 ,F,62 ,3,167,160,157
51,66 ,63 ,F,61 ,3,167,160,155
52,65 ,63 ,F,66 ,2,165,159,167
52,65 ,63 ,F,60 ,2,165,159,153
53,69 ,66 ,F,63 ,1,175,168,160
54,68 ,63 ,F,65 ,1,172,160,164
55,67 ,63 ,F,65 ,2,170,160,165
55,67 ,63 ,F,61 ,2,170,160,156
56,72 ,65 ,F,68 ,2,183,165,173
56,72 ,65 ,M,72 ,2,183,165,184
57,69 ,65 ,F,67 ,2,176,164,171
57,69 ,65 ,F,63 ,2,176,164,161
58,71 ,62 ,F,66 ,3,180,158,168
58,71 ,62 ,M,70 ,3,180,158,178
58,71 ,62 ,M,73 ,3,180,158,185
59,67 ,64 ,M,70 ,3,170,162,178
59,67 ,64 ,F,65 ,3,170,162,166
59,67 ,64 ,F,68 ,3,170,162,173
60,67 ,62 ,F,64 ,2,169,158,163
60,67 ,62 ,M,69 ,2,169,158,176
61,65 ,60 ,F,61 ,1,165,153,156
62,71 ,63 ,F,65 ,2,180,160,166
62,71 ,63 ,M,69 ,2,180,160,176
63,70 ,61 ,F,62 ,2,177,156,158
63,70 ,61 ,F,63 ,2,177,156,160
64,69 ,61 ,F,63 ,1,175,155,161
65,70 ,67 ,F,68 ,1,179,170,172
66,71 ,64 ,F,65 ,1,180,163,166
67,69 ,62 ,F,65 ,1,174,157,164
68,65 ,63 ,M,61 ,2,164,160,155
68,65 ,63 ,F,69 ,2,164,160,175
69,71 ,65 ,F,63 ,2,180,165,160
69,71 ,65 ,F,67 ,2,180,165,170
70,63 ,61 ,F,62 ,3,160,155,158
70,63 ,61 ,M,69 ,3,160,155,175
70,63 ,61 ,M,69 ,3,160,155,176
71,69 ,61 ,M,70 ,2,176,156,177
71,69 ,61 ,M,71 ,2,176,156,180
72,69 ,61 ,F,66 ,2,175,155,167
72,69 ,61 ,F,65 ,2,175,155,166
73,67 ,66 ,M,69 ,2,170,167,174.8
73,67 ,66 ,M,70 ,2,170,167,177
74,68 ,61 ,F,64 ,3,173,156,162
74,68 ,61 ,F,64 ,3,173,156,162
74,68 ,61 ,F,62 ,3,173,156,158
75,64 ,60 ,F,61 ,3,163,152,156
75,64 ,60 ,F,62 ,3,163,152,158
75,64 ,60 ,F,62 ,3,163,152,158
76,65 ,61 ,F,61 ,2,165,154,154
76,65 ,61 ,M,68 ,2,165,154,172
77,69 ,63 ,F,64 ,2,174,161,163
77,69 ,63 ,M,68 ,2,174,161,172
78,68 ,61 ,F,66 ,3,172,155,168
78,68 ,61 ,M,67 ,3,172,155,169
78,68 ,61 ,F,68 ,3,172,155,172
79,70 ,63 ,M,70 ,2,178,160,178
79,70 ,63 ,F,65 ,2,178,160,165
80,70 ,64 ,F,69 ,2,178,163,175
80,70 ,64 ,M,72 ,2,178,163,182
81,69 ,64 ,F,64 ,2,174,163,162
81,69 ,64 ,M,69 ,2,174,163,175
82,69 ,67 ,F,63 ,1,174,171,160
83,69 ,64 ,F,65 ,2,176,163,164
83,69 ,64 ,F,65 ,2,176,163,164
84,71 ,63 ,M,70 ,1,181,160,179
85,70 ,62 ,M,66 ,2,177,158,168
85,70 ,62 ,M,68 ,2,177,158,173
86,69 ,65 ,M,66 ,2,176,164,167
86,69 ,65 ,F,66 ,2,176,164,168
87,67 ,64 ,M,68 ,2,170,163,173
87,67 ,64 ,F,65 ,2,170,163,165
88,66 ,63 ,M,66 ,2,167,160,168
88,66 ,63 ,F,63 ,2,167,160,160
89,67 ,63 ,F,63 ,2,170,160,161
89,67 ,63 ,M,68 ,2,170,160,172
90,69 ,66 ,M,69 ,1,174,167,176
91,68 ,63 ,F,59 ,2,172,160,151
91,68 ,63 ,F,61 ,2,172,160,155
92,66 ,64 ,M,69 ,2,168,163,174
92,66 ,64 ,F,66 ,2,168,163,167
93,70 ,68 ,F,63 ,1,179,172,161
94,70 ,65 ,M,68 ,1,177,165,173
95,67 ,62 ,M,69 ,1,170,158,174
96,69 ,64 ,M,74 ,2,174,162,188
96,69 ,64 ,M,67 ,2,174,162,170
97,67 ,63 ,M,66 ,2,169,160,168
97,67 ,63 ,M,67 ,2,169,160,171
98,65 ,64 ,M,66 ,1,165,162,167
99,68 ,65 ,M,67 ,1,173,165,170
100,66 ,64 ,F,62 ,1,168,162,157
101,71 ,64 ,M,70 ,1,180,163,178
102,69 ,66 ,M,69 ,1,175,167,176
103,68 ,63 ,M,67 ,1,173,159,170
104,69 ,66 ,F,66 ,1,174,167,167
105,68 ,65 ,F,64 ,1,173,166,163
106,70 ,66 ,M,69 ,2,178,167,176
106,70 ,66 ,M,69 ,2,178,167,175
107,67 ,63 ,M,67 ,1,170,160,169
108,68 ,63 ,F,62 ,1,173,161,158
109,67 ,65 ,F,65 ,2,171,165,166
109,67 ,65 ,M,67 ,2,171,165,170
110,67 ,62 ,F,64 ,1,169,157,162
111,69 ,64 ,F,64 ,1,175,162,163
112,69 ,64 ,F,66 ,1,174,163,167
113,69 ,66 ,M,69 ,1,174,167,176
114,72 ,68 ,M,72 ,1,182,172,183
115,69 ,65 ,M,71 ,1,176,166,180
116,68 ,62 ,M,69 ,1,172,158,174
117,67 ,65 ,M,68 ,1,171,164,173
118,66 ,64 ,F,65 ,1,167,163,165
119,69 ,67 ,M,69 ,2,175,170,175
119,69 ,67 ,M,69 ,2,175,170,174
120,68 ,66 ,M,67 ,1,172,167,170
121,72 ,68 ,M,72 ,1,183,172,182
122,69 ,65 ,F,64 ,1,176,166,163
123,71 ,63 ,M,69 ,1,180,160,174
,,,,,,,,
,,,,,,,,
