Family,Father,Mother,Gender,Height,Kids,Father(cm),mother(cm),Height(cm)
1,68.11,64.96,M,68.5,2,173.0,165.0,174.0
1,68.11,64.96,M,72.44,2,173.0,165.0,184.0
2,67.72,62.99,M,71.65,1,172.0,160.0,182.0
3,66.93,62.99,M,68.11,2,170.0,160.0,173.0
3,66.93,62.99,F,62.2,2,170.0,160.0,158.0
4,66.54,63.39,M,70.47,2,169.0,161.0,179.0
4,66.54,63.39,M,68.11,2,169.0,161.0,173.0
5,66.93,64.96,M,68.9,2,170.0,165.0,175.0
5,66.93,64.96,F,62.99,2,170.0,165.0,160.0
6,68.11,61.02,M,72.44,2,173.0,155.0,184.0
6,68.11,61.02,M,69.29,2,173.0,155.0,176.0
7,67.72,64.17,M,69.29,1,172.0,163.0,176.0
8,66.93,64.96,M,67.32,2,170.0,165.0,171.0
8,66.93,64.96,M,66.93,2,170.0,165.0,170.0
9,68.11,64.57,F,65.35,2,173.0,164.0,166.0
9,68.11,64.57,F,64.57,2,173.0,164.0,164.0
10,69.29,66.93,M,70.87,3,176.0,170.0,180.0
10,69.29,66.93,F,66.93,3,176.0,170.0,170.0
10,69.29,66.93,F,64.17,3,176.0,170.0,163.0
11,68.31,62.99,M,59.06,1,173.5,160.0,150.0
12,71.26,67.32,M,75.59,2,181.0,171.0,192.0
12,71.26,67.32,F,70.08,2,181.0,171.0,178.0
13,66.14,64.57,M,68.5,2,168.0,164.0,174.0
13,66.14,64.57,M,67.72,2,168.0,164.0,172.0
14,64.96,56.3,M,68.11,2,165.0,143.0,173.0
14,64.96,56.3,M,68.11,2,165.0,143.0,173.0
15,68.5,65.35,M,66.14,2,174.0,166.0,168.0
15,68.5,65.35,M,70.87,2,174.0,166.0,180.0
16,68.7,64.96,M,70.47,1,174.5,165.0,179.0
17,68.11,63.78,M,68.11,2,173.0,162.0,173.0
17,68.11,63.78,F,61.02,2,173.0,162.0,155.0
18,68.11,63.78,M,67.72,1,173.0,162.0,172.0
19,68.11,64.96,M,67.99,2,173.0,165.0,172.7
19,68.11,64.96,M,69.29,2,173.0,165.0,176.0
20,64.96,62.6,M,66.14,2,165.0,159.0,168.0
