Family,Kids,Father(cm),mother(cm),Gender,Height(cm)
1,2,178,164,M,185
1,2,178,164,F,158
2,2,177,160,M,175
2,2,177,160,M,178
3,2,174,160,F,166
3,2,174,160,F,167
4,2,170,157,F,160
4,2,170,157,F,160
5,2,174,159,F,158
5,2,174,159,M,178
6,2,187,165,F,176
6,2,187,165,F,170
7,3,169,153,F,156
7,3,169,153,F,160
7,3,169,153,F,166
8,1,175,150,F,155
9,2,175,167,F,163
9,2,175,167,M,173
10,2,180,158,M,179
10,2,180,158,F,160
11,2,172,150,F,167
11,2,172,150,M,180
12,1,173,158,F,160
13,1,165,156,M,167
14,2,174,167,M,177
14,2,174,167,M,177
15,2,170,160,M,180
15,2,170,160,F,156
16,2,172,155,M,175
16,2,172,155,F,164
17,2,165,160,M,178
17,2,165,160,F,160
18,1,160,160,M,180
19,2,165,160,M,171
19,2,165,160,M,177
20,1,171,157,M,184
21,2,170,169,M,175
21,2,170,169,F,153
22,4,174,152,M,174
22,4,174,152,M,173
22,4,174,152,F,160
22,4,174,152,F,163
23,2,170,160,F,167
23,2,170,160,M,182
24,2,178,163,M,183
24,2,178,163,F,169
25,2,175,150,M,177
25,2,175,150,F,152
26,2,185,155,M,174
26,2,185,155,F,169
27,2,175,165,M,177
27,2,175,165,F,163
28,3,160,162,F,150
28,3,160,162,F,160
28,3,160,162,M,168
29,1,174,165,M,174
30,3,171,156,F,160
30,3,171,156,M,172
30,3,171,156,F,159
31,2,168,155,M,175
31,2,168,155,F,163
32,2,163,165,F,161
32,2,163,165,M,180
33,2,173,165,M,178
33,2,173,165,M,186
34,2,167,153,F,172
34,2,167,153,M,160
35,2,165,148,F,153
35,2,165,148,F,163
36,2,171,155,F,175
36,2,171,155,F,158
37,2,160,155,F,158
37,2,160,155,F,159
38,3,164,158,F,158
38,3,164,158,F,163
38,3,164,158,M,168
39,2,170,153,M,173
39,2,170,153,M,175
40,3,174,166,F,150
40,3,174,166,F,165
40,3,174,166,M,178
41,3,173,163,F,167
41,3,173,163,M,182
41,3,173,163,F,170
42,2,178,165,M,182
42,2,178,165,M,183
43,2,175,160,M,176
43,2,175,160,M,172
44,3,178,163,F,163
44,3,178,163,M,181
44,3,178,163,F,168
45,3,174,164,F,167
45,3,174,164,F,168
45,3,174,164,M,184
46,2,176,155,F,161
46,2,176,155,F,163
47,2,172,156,M,173
47,2,172,156,F,158
48,2,168,160,M,175
48,2,168,160,M,178
49,3,172,155,F,165
49,3,172,155,F,167
49,3,172,155,F,155
50,2,165,165,M,178
50,2,165,165,M,175
51,2,173,158,F,155
51,2,173,158,F,156
52,2,178,171,M,187
